gene,anomaly_score
PENK,0.001102241
CTRL,0.0011009623
GPR27,0.0010937916
CLPTM1,0.0010933101
RAPGEFL1,0.0010921404
CAPZA1,0.0010879053
OXCT2,0.0010866037
RTL8C,0.001083784
DHX58,0.0010825156
ANTXR1,0.0010816064
SHFL,0.0010808263
SLC25A4,0.001080595
CCL22,0.0010792081
CD1E,0.0010791876
BOLA2B,0.0010741262
WRAP53,0.0010726023
RPL8,0.0010715558
HLA-A,0.0010710643
NECAB3,0.0010694196
TMEM164,0.0010690677
NPIPB13,0.0010653809
LSM12,0.0010645193
CUL1,0.0010635146
CNPPD1,0.0010597792
UBR7,0.001059485
HRC,0.0010578363
ECD,0.0010564852
DCAF10,0.0010560947
IL19,0.0010542269
ME1,0.0010447135
PLXNB1,0.0010394803
LAG3,0.0010393955
HBB,0.0010387363
SIGLEC9,0.0010375221
NELL2,0.0010371967
SYMPK,0.0010370268
LCP1,0.0010355316
CDC25A,0.0010352342
GFI1,0.0010312333
CAMKV,0.0010307942
COQ8B,0.0010296279
OSGEP,0.0010263969
IL2,0.0010263791
GUCY2D,0.0010243352
HADHB,0.0010228734
RPSA,0.0010210795
HLA-F,0.0010202632
ITFG1,0.0010191455
PTPRN2,0.0010190842
PLA2G2D,0.0010145629
TCOF1,0.0010131985
NBPF9,0.0010116994
VPS16,0.001011669
MCHR1,0.0010088267
VPREB3,0.0010070072
SPA17,0.0010069783
SZRD1,0.0010062645
BRIP1,0.0010058425
S100A8,0.0010034079
GPR171,0.0010018621
OCEL1,0.0009994203
CYP21A2,0.0009981728
SRPK3,0.000997556
FOSL1,0.0009969142
CRIP2,0.0009946891
SLC12A3,0.000994252
GFER,0.000994063
CXCR6,0.0009885557
SLCO5A1,0.0009871356
POLR3K,0.0009848987
TRIB2,0.0009839792
AHCY,0.0009813134
COL1A1,0.000980949
MDK,0.0009803587
HK1,0.0009769994
ZDHHC24,0.000976783
BCAT2,0.00097498356
NFIX,0.0009749487
DCLRE1A,0.0009733626
COPS6,0.00097154087
TADA3,0.0009713197
P4HB,0.0009705137
BCL3,0.0009703539
AMD1,0.0009682238
C11orf98,0.00096741377
SPAG4,0.0009662783
CD19,0.00096627296
MOGS,0.0009660306
GCAT,0.0009652194
FKRP,0.0009639029
BFAR,0.0009627843
ANKMY1,0.0009609812
MCM5,0.0009581712
CCT4,0.00095712254
BTBD2,0.0009569976
CHORDC1,0.00095523254
ARMCX6,0.0009540475
KIAA0930,0.0009532589
ADPGK,0.00095243833
JADE3,0.0009523655
GAMT,0.0009520236
SPARC,0.000950892
NAV2,0.00094994914
CDK5RAP1,0.0009481325
ABCB4,0.0009448903
THG1L,0.00094422547
ITIH5,0.0009417293
CACNA1E,0.0009408303
SMARCB1,0.0009405601
DNAAF1,0.00094031426
ATP5ME,0.00093907973
FAM102A,0.0009362794
EIF3I,0.0009342984
SEMA4A,0.00093372376
PCNP,0.0009326753
TLX1,0.00093253306
PITX1,0.00093214324
FAM111A,0.0009317241
IRX5,0.0009305965
CLPS,0.0009301573
IPO4,0.0009295236
ANKRD55,0.0009270613
FUZ,0.00092674926
MORF4L1,0.0009240409
GUSB,0.00092368264
PAGR1,0.00092341553
SLC18A1,0.00092332775
IER3,0.00092258595
LIMK1,0.0009213812
CENPM,0.00092064537
ARNT2,0.0009159714
DGKZ,0.000915198
TPBG,0.0009151057
GZMK,0.0009140694
RPL18,0.00091293274
LBHD1,0.0009103124
BAALC,0.000909769
NANS,0.00090926257
RBM15B,0.0009088734
SAP30BP,0.0009082959
TFAP4,0.00090798334
CUL4A,0.000907284
SETDB1,0.00090690196
DHRS7,0.0009063815
TOP1,0.0009052373
SIPA1,0.0009049031
PATZ1,0.0009029456
ALG8,0.00090215093
SLC39A6,0.0009017488
MYO9B,0.0009009193
CDH5,0.0009003561
SPAG6,0.00089911063
RPS9,0.00089813455
ITGB7,0.00089709746
CYP4F11,0.00089616794
EVL,0.000895533
COX5B,0.0008940472
MMRN1,0.0008932919
CDH7,0.0008926027
SIRPG,0.0008919969
MYOM1,0.00089121104
FN3KRP,0.0008899453
CDC37,0.00088925357
CBY1,0.00088912924
SNAPC2,0.00088804116
DYNLL1,0.000887306
PTMA,0.0008871512
TEAD4,0.0008851631
H2AC14,0.0008833819
ASTN2,0.0008831825
ATG5,0.00088239467
SPIB,0.00088149
KRI1,0.00088082167
RHBDL1,0.00088048016
SETD1B,0.0008800891
GREB1L,0.00087984744
CHRNA9,0.0008789712
SLC26A6,0.0008789163
CASP2,0.0008785337
TRPM4,0.0008784748
AGMAT,0.0008779894
BUD23,0.00087527325
DNPH1,0.00087516336
GAPDH,0.00087436073
