gene,hazard_ratio,p_value,fdr,mean_expression,sd_expression
SLC2A5,1.265045184,0.097303856,0.289516692,21209.79592,31896.31506
RERE,1.108836893,0.466542282,0.675625263,301539.8914,116157.8844
CFAP74,1.369224412,0.026829739,0.152203058,1325.85329,3145.106902
PRDM16,1.2956313,0.070077797,0.246772646,3756.535093,6091.876416
CELA2A,0.899295411,0.454253301,0.665617321,866.2456681,13390.08695
PADI3,1.03880637,0.787969366,0.888514286,19389.23201,101987.5136
PADI1,1.092572647,0.530741467,0.723596887,1001.483239,5164.125158
EPHA2,1.194012134,0.216166289,0.443347398,103962.7342,88997.95265
EFHD2,0.600104055,0.000472742,0.029289182,521737.8746,349675.2339
PEX14,0.777797192,0.078175307,0.262152924,161676.0306,70215.14534
PGD,0.777300615,0.077676447,0.261114692,1111554.08,601606.0251
SH3BGRL3,0.842186402,0.226062366,0.455203153,2038385.579,1291116.923
CNKSR1,0.605826255,0.000580248,0.029683426,170116.4788,84791.75977
RPL11,0.787714707,0.091672233,0.281847818,8647619.931,4783851.655
IL22RA1,1.040174572,0.781609983,0.884064659,9894.49203,14907.24841
ZNF593,0.637193751,0.001752014,0.044412645,45015.3762,42628.12993
C1orf216,0.869967891,0.329881921,0.55774962,151992.3485,51966.37723
KIAA0319L,0.705432307,0.014989232,0.113323842,323609.9317,153144.7444
EVA1B,0.698179291,0.013730808,0.109782898,484914.2715,762876.3985
PLK4,0.898497454,0.4492996,0.661254692,58218.81681,43003.96031
MAP3K6,0.884290793,0.384233677,0.606713808,177654.8939,99246.67652
FCN3,1.083885636,0.569769749,0.75067937,16370.12587,22758.38677
GPN2,1.021781412,0.878941154,0.939812454,124345.0034,35318.77899
WDTC1,1.125394848,0.406917219,0.626113482,368597.6179,124053.7175
NBPF3,1.219377181,0.163604539,0.382174447,39183.96833,21583.8469
HSPG2,1.112048697,0.456993874,0.668433023,428471.8583,321779.3954
ITGB3BP,0.869870257,0.327001479,0.554803518,63027.30745,27441.72292
SERBP1,0.811627361,0.143047772,0.354678983,879773.583,350174.5062
BCL10,0.92048151,0.562179101,0.745604295,197712.7524,68648.20443
CCN1,1.131191362,0.38898898,0.611506864,2186997.119,2392230.109
PRKACB,0.957472872,0.758845389,0.869873119,313279.4093,802979.4647
PIGK,1.140648335,0.354543053,0.579159792,188632.3263,86201.29604
TINAGL1,1.184467399,0.235214956,0.463928233,208717.3712,217365.2407
RPS8,0.859403002,0.284967665,0.515219366,8366268.741,4782351.994
KIF2C,0.902819283,0.472436741,0.680251663,170898.3227,178175.6334
PTPRF,0.906313358,0.48868959,0.692587158,1512315.646,736680.3565
CYP4B1,1.235992054,0.137222624,0.347410325,198405.7638,429681.9437
LMO4,0.99798268,0.988609658,0.993927107,299437.7099,381466.1774
MTF2,0.800904188,0.116572333,0.318833243,105178.1057,63887.2562
IGSF3,0.748664107,0.043069052,0.192552431,301673.6983,253258.4647
PSMA5,0.774277891,0.073597837,0.253771891,394871.01,170339.4191
CD53,0.791136229,0.104301957,0.301147924,467479.242,416585.9553
CELSR2,0.563703031,7.91536344531407e-05,0.014721358,312286.5411,320764.9551
ITGA10,0.783746154,0.085677193,0.274225997,27825.50253,46032.25211
GPR161,1.153028415,0.316543622,0.544880513,38196.802,43585.21674
ALDH9A1,1.04948834,0.732715884,0.85665747,1162646.377,552966.9405
ATP1B1,1.054232528,0.708745325,0.841960753,1723096.679,1518921.901
TIPRL,1.038377914,0.790598622,0.890086438,478550.1563,187967.1317
