gene,hazard_ratio,p_value,fdr,mean_expression,sd_expression
TSPAN6,1.084857559,0.567414074,0.74868683,270068.7723,205297.9806
TNMD,1.192324104,0.220255022,0.44841823,33250.07488,179284.2881
DPM1,1.101417338,0.494066196,0.696288907,751716.6876,373086.83
SCYL3,0.651632599,0.002887048,0.054785213,108580.6505,46187.19986
C1orf112,0.977626549,0.872924099,0.936027979,51766.33776,34763.46989
FGR,1.072670321,0.623777331,0.786733871,66081.42515,61686.12799
CFH,1.520899797,0.003945954,0.062330371,167943.2849,168494.6511
GCLC,1.412922126,0.015100332,0.11409245,124145.3292,70758.06159
NFYA,0.804910792,0.126350635,0.332758068,352644.2919,272636.3757
NIPAL3,1.401354193,0.018643497,0.126517869,123572.9826,71657.96027
LAS1L,0.880757064,0.373613718,0.597016679,236314.5353,95669.50559
ENPP4,1.473618839,0.00697376,0.079910695,154891.1815,155186.7026
SEMA3F,0.573801117,0.000164828,0.018596863,498963.659,313150.6826
CFTR,1.11084002,0.45912943,0.670016378,3310.812414,15680.00067
CYP51A1,0.711292927,0.01772848,0.124099362,28440.52188,20435.1203
KRIT1,1.110461506,0.465027152,0.674713542,138572.3381,48342.66624
RAD52,1.146306303,0.336232224,0.563358482,49794.22414,24207.76835
BAD,0.813365432,0.148209716,0.36122149,449218.0004,314665.0507
LAP3,0.738228746,0.034434833,0.172445193,782617.7087,387273.8539
CD99,1.102713498,0.489414064,0.693207571,1307838.392,880781.945
HS3ST1,1.270840151,0.093286283,0.284351457,15463.40467,12645.9774
AOC1,0.931912501,0.618829614,0.783682297,23625.80422,147517.3303
WNT16,0.79407292,0.10322681,0.299364977,1068.311679,5895.29196
HECW1,1.177880909,0.248196721,0.475634262,1325.618853,2040.034941
MAD1L1,0.708663285,0.017632235,0.123914209,82734.94886,44177.38651
LASP1,0.800609695,0.124922423,0.331108786,1367923.202,1488295.841
SNX11,0.954531491,0.742443728,0.861528338,191254.1966,109783.3004
TMEM176A,1.133386764,0.378748083,0.601825128,293041.1304,330264.8022
M6PR,0.930088919,0.608658332,0.777726516,476041.607,181430.1816
CYP26B1,1.500313968,0.004797187,0.067749055,35867.56006,65736.90533
ICA1,0.833137346,0.201432978,0.425423352,260310.2769,141310.3478
DBNDD1,0.858875354,0.286952313,0.516996749,208669.3142,187513.9417
CASP10,1.160819714,0.298117067,0.527211129,36919.09727,30824.35217
CFLAR,1.12414347,0.410632752,0.62973858,106914.4679,52876.96112
TFPI,1.2931641,0.0735239,0.253661651,54207.16941,89805.0337
NDUFAF7,1.003321805,0.98128322,0.990915239,77591.82521,23650.05338
RBM5,0.935687914,0.638470717,0.797362861,197788.8914,79293.02626
MTMR7,1.175761017,0.25260194,0.479689734,10486.70065,12977.26781
SLC7A2,0.930477877,0.612048754,0.779837145,709991.4293,1143352.422
ARF5,0.695553095,0.012792229,0.106393218,1751012.761,905869.7973
SARM1,0.872510505,0.334582331,0.56152422,14870.26699,12773.316
POLDIP2,0.941055537,0.668254499,0.817998274,1397304.954,764151.7305
PLXND1,1.484413246,0.005844351,0.073214878,409608.3283,246736.859
AK2,0.782356574,0.087108829,0.276611145,492770.4794,200431.4821
CD38,1.014534008,0.918766714,0.959485541,21808.44118,36892.90506
FKBP4,0.883225104,0.387720512,0.61060694,1756227.056,1120472.461
KDM1A,0.757569468,0.052620723,0.210467963,454389.5638,178166.323
RBM6,0.856297734,0.274660519,0.506053881,233502.9392,91128.58367
RECQL,1.32564141,0.049837948,0.204829603,182618.9151,101573.2985
VPS50,1.033358994,0.817264391,0.905250982,82763.49626,47026.39338
HSPB6,1.071062694,0.630684323,0.791317362,421940.0451,1599058.68
ARHGAP33,0.722384488,0.024003204,0.143579779,62000.28603,48622.15223
NDUFAB1,0.941222468,0.66974053,0.818889884,811455.0609,381002.733
PDK4,0.993517441,0.963598457,0.982287018,510289.2193,1424668.541
ZMYND10,0.601546028,0.000540713,0.029683426,82288.98787,108430.4925
SLC25A13,1.107383705,0.470828531,0.678818527,179241.294,89799.67054
ST7,0.950554917,0.719974085,0.848568462,110493.8831,103786.1592
CDC27,1.23374816,0.139948735,0.351031232,255570.4577,105598.3835
SLC4A1,1.263471806,0.100417615,0.295042127,404.533856,1420.052008
CALCR,1.271838347,0.091011113,0.280823806,4162.863288,25167.76539
HCCS,1.143064437,0.344774963,0.570110751,237610.8867,204198.8792
DVL2,0.844579071,0.233849509,0.462533821,133656.3968,48351.95667
PRSS22,0.963331824,0.792393199,0.890758154,134169.1725,112230.9407
UPF1,0.87753295,0.362612514,0.586987504,374929.0161,114926.5473
SKAP2,1.167783776,0.279448378,0.510386983,142651.6896,91509.12016
SLC25A5,0.842523303,0.228383133,0.456794655,3845198.702,1893626.062
MCUB,0.696647372,0.01118629,0.099633254,142813.3801,73861.62652
HOXA11,1.082578435,0.574989288,0.75426782,11175.83608,33463.09457
POLR2J,0.84582936,0.238885577,0.468053009,562023.6745,394080.0235
MEOX1,0.973141603,0.848369682,0.924375041,68169.18741,110910.4248
THSD7A,1.296391628,0.071867644,0.250024241,14043.97607,13533.64691
LIG3,0.927695903,0.597543464,0.769293558,89650.35821,48477.59216
RPAP3,0.923884163,0.576360988,0.755235386,157416.1133,48208.58834
ACSM3,0.980909926,0.891665881,0.946039097,15457.87684,37038.96526
REXO5,0.801120824,0.119666329,0.323298569,53215.28521,32968.4902
CIAPIN1,0.950172498,0.717459331,0.847072731,271785.1031,117011.0062
SPPL2B,0.779080242,0.081702779,0.268319665,134242.6156,77591.73098
FAM214B,1.217145529,0.165064884,0.383665517,83067.15417,37728.86845
COPZ2,1.235056042,0.13552743,0.344924443,230354.4839,229652.1942
PRKAR2B,1.318675997,0.053487369,0.212490568,416700.6854,735656.6428
MSL3,1.162242472,0.289256099,0.51873292,110012.485,47224.93596
CREBBP,0.977150754,0.869920554,0.934679775,218694.2266,78784.60591
TSPOAP1,0.972134197,0.841749299,0.920495375,48401.89253,40369.59043
MPO,1.144068855,0.345770777,0.57072951,1905.848318,3266.878534
PON1,1.068092583,0.645697804,0.801351674,4490.023631,19761.20722
GCFC2,1.431268323,0.015653569,0.116740278,102230.9304,36770.83518
CROT,0.830779971,0.190801789,0.4128177,152224.6262,128651.7217
ABCB4,0.75673044,0.052019833,0.209284438,6274.155177,5192.214533
IBTK,1.240958944,0.127757799,0.33468289,207912.8777,85385.23435
ZNF195,0.823710054,0.173000906,0.393269642,94922.0235,36674.75054
MYCBP2,1.408113707,0.018335835,0.126015865,133842.2947,91378.79572
ITGAL,0.691810717,0.010524513,0.096606563,106749.5263,105477.9832
PDK2,1.325108492,0.048207168,0.201816636,120041.7898,89116.98304
ZFX,1.377685896,0.025937622,0.149813625,165358.6823,95242.52945
LAMP2,1.278922429,0.083451207,0.270786113,1086498.812,468971.7633
ITGA2B,0.925812741,0.585546419,0.761802696,4632.596242,6116.675368
ASB4,1.268627834,0.097848755,0.290637247,1777.445929,11591.81771
GDE1,1.032428154,0.821371378,0.907457037,564891.3006,225070.7166
REX1BD,0.682720332,0.008776325,0.088427868,128768.4975,131764.3076
CRLF1,1.046533642,0.747396405,0.8636841,67954.02738,245644.4203
OSBPL7,0.978205801,0.87688981,0.938449089,40079.82642,23876.5631
YBX2,1.139453151,0.356433358,0.580873936,47529.92391,58789.52305
KRT33A,1.082395027,0.576286707,0.755235386,4051.251751,14266.88044
MAP3K14,1.058879962,0.687341215,0.828937345,77126.01778,42167.0151
ABCC8,0.947011139,0.699912104,0.836902066,39502.35309,64637.10891
TMEM132A,0.743214162,0.039760726,0.185302072,324717.4792,313142.7769
AP2B1,0.787486021,0.092703751,0.283505097,1236649.562,729660.9699
TAC1,0.904633125,0.478656433,0.685195691,8880.978003,35321.62617
ZNF263,0.711540615,0.018143134,0.125382498,151760.7059,53736.00233
CX3CL1,1.062080069,0.672467954,0.819922773,378389.4821,594404.1899
SPATA20,0.68710535,0.010587028,0.096812842,295574.8502,246629.2397
CACNA1G,1.019222278,0.893074853,0.946469878,4013.278203,9971.169979
TNFRSF12A,0.837931622,0.2137781,0.439939277,612383.0691,565058.5393
DLX6,1.117743643,0.431205528,0.64555339,4595.169188,16300.18352
MAP3K9,1.011409318,0.936190304,0.969260375,33316.24435,20259.85947
RALA,1.070974352,0.628445042,0.789573074,515271.8442,166836.8971
KDM7A,1.283594678,0.083672587,0.271042835,102490.5956,72326.36165
ETV1,1.166510206,0.278083215,0.50897339,36747.47975,34641.45497
AGK,0.801231869,0.119962817,0.323762759,114507.3958,38138.74713
ALDH3B1,0.933378285,0.627439765,0.788883964,58455.64428,50454.68873
TTC22,0.798284553,0.113298823,0.313497246,45918.90159,50281.2034
PHTF2,0.800879054,0.117576981,0.319844313,96825.37653,50303.89481
FARP2,0.853814753,0.263774453,0.493159505,61495.32287,25132.20324
USH1C,1.025599145,0.85813309,0.928901409,3652.782578,38391.6238
GGCT,1.065687546,0.653318994,0.806409365,1167717.81,895387.0852
DBF4,0.78771428,0.095570057,0.287046261,77098.43741,46693.68925
TBXA2R,1.095604732,0.517662692,0.714467894,23129.77112,18175.8188
IFRD1,1.275924396,0.088586125,0.278146086,114484.5473,89673.18094
COX10,1.048142534,0.739498902,0.859513723,110881.9879,40811.15349
GTF2IRD1,0.777371307,0.078414084,0.26242647,135385.0528,56077.99077
PAF1,0.741139997,0.03986503,0.18549975,717288.5365,402012.937
VPS41,1.761246431,0.000113724,0.015898754,195004.4057,67160.86472
ARHGAP44,1.434402039,0.012070297,0.102938009,25557.4789,19687.39825
ELAC2,1.103600732,0.485818743,0.690493057,243257.6339,75259.42411
SCIN,0.990440053,0.945825521,0.974740882,33581.75343,91575.86549
ARSD,0.864873509,0.30498373,0.534726679,409233.1759,255766.6755
PNPLA4,0.837998646,0.212170268,0.438224221,209691.7287,117998.2476
MYH13,0.889105334,0.406718107,0.626113482,2010.436026,4899.100594
ADIPOR2,1.24892034,0.115994319,0.317998731,665174.134,612411.2383
CDKL3,1.240167485,0.128215483,0.334937664,8041.640307,5860.423459
PRSS21,0.999312558,0.99613172,0.998278734,48708.45489,135673.6654
MARK4,0.719284348,0.021492714,0.135219875,155303.1071,75836.42
PROM1,1.14011174,0.360401883,0.585132737,252262.6999,458434.8
CEACAM21,1.006787853,0.961860142,0.982079023,18128.72807,20902.05997
PAFAH1B1,1.924659912,9.97595356615129e-06,0.007833818,403939.3535,129749.5929
NOS2,1.307397966,0.061621286,0.229247422,5568.744078,17068.99552
DNAH9,0.965822028,0.806109871,0.899322834,1470.431427,3560.235777
KIAA0100,1.048553611,0.737536822,0.858769449,572473.1716,328174.5081
SLC13A2,1.276114092,0.088528018,0.278146086,50525.10603,138961.8801
GAS7,0.988350152,0.934418967,0.968549335,117468.6885,93931.83329
TRAPPC6A,0.96372962,0.794295198,0.89157239,689687.5847,594198.7946
MATK,0.662940295,0.00419417,0.064508037,26463.49229,48461.02551
CEACAM7,0.99554451,0.974924121,0.987983702,9102.348095,46641.36108
CD79B,0.825159682,0.174562887,0.394742003,73625.42133,161124.3771
SCN4A,1.151571829,0.323813603,0.551893116,11644.42022,54840.46334
ST7L,0.849552759,0.24994944,0.477279084,35515.87865,12312.54816
TKTL1,1.367164772,0.030077078,0.160601499,1404.570194,13946.65409
PAX6,1.255458197,0.112857341,0.312890151,6122.320404,12196.9081
RHBDF1,0.774371321,0.073030569,0.252387308,252047.9209,130611.2353
LUC7L,0.806414614,0.130577459,0.338718506,162327.9177,92721.90763
CACNA2D2,0.706543068,0.0156739,0.116819367,76170.50056,112479.0866
BAIAP3,0.900300602,0.459577106,0.670294084,76349.19895,112060.1608
TSR3,0.779774621,0.083164877,0.27043474,778927.7178,522328.5425
PIGQ,0.852959159,0.264631298,0.494226442,264950.1257,183601.5433
TEAD3,0.953656071,0.737480542,0.858769449,327871.659,133431.4242
SELE,1.043398809,0.765190872,0.873528821,58292.42547,129967.9589
DNAJC11,1.02378319,0.868501095,0.933769988,143137.03,45664.01257
FMO3,1.432846335,0.012470284,0.105348192,49220.89406,335519.1691
MYLIP,1.150665322,0.322856171,0.550961075,385940.5433,200214.8219
NOX1,0.890785723,0.415561998,0.633589229,11188.05922,8430.726856
E2F2,0.830232723,0.190887524,0.4128177,44324.24883,65575.60213
PSMB1,0.961380149,0.78130293,0.883868752,1500287.594,689186.1117
SYN1,0.754330437,0.046572234,0.198259344,22312.05541,65131.34709
JARID2,0.874933421,0.346226105,0.57116913,174264.0327,89398.19693
CDKL5,1.226849928,0.150891744,0.364461596,35120.86753,22371.56787
CAMK1G,0.861758127,0.293343644,0.52312046,3691.195236,10282.54085
CDK11A,0.923000316,0.570652446,0.751237876,24794.96729,12363.15847
NADK,1.072417035,0.621617286,0.785074318,245991.383,80554.36801
TFAP2B,1.154572906,0.310587559,0.539622449,260697.977,367960.9986
DLEC1,1.01641504,0.90854707,0.953833014,3959.134371,5163.539473
CYTH3,1.606683076,0.001023827,0.037230805,175323.0982,96394.94945
ADAM22,0.983136558,0.904649831,0.952059877,18983.8809,16746.36206
SYPL1,1.183150503,0.241127614,0.469326616,1225525.085,501629.7399
CYB561,1.052673306,0.716772681,0.846859357,889608.5575,741565.1989
SPAG9,1.631535936,0.00078084,0.033005513,199791.5395,122601.0925
CELSR3,0.828080868,0.186834268,0.408581668,25496.84781,32355.75348
AASS,1.1081642,0.470345433,0.678818527,34934.81809,34779.68176
PLEKHG6,1.162256962,0.289529309,0.518880298,90777.11327,81377.31907
SS18L2,0.606614891,0.000591316,0.029785081,291409.0899,131360.9268
CRY1,1.55960097,0.002110726,0.048251327,125443.0279,46659.55322
PGLYRP1,1.130999865,0.384072938,0.606713808,1653.404863,4352.041204
NFIX,1.351693568,0.035120814,0.17386385,601658.8431,535247.685
ST3GAL1,0.942374412,0.676123897,0.822431328,338140.0212,294295.9472
MMP25,0.786338452,0.090595036,0.280707229,33144.53848,59970.73052
IL32,0.728702125,0.026446712,0.151500601,317681.7847,392468.7064
PKD1,1.289468565,0.073720707,0.254050634,85545.09792,41943.53713
MAPK8IP2,0.683198452,0.008569815,0.088020809,127251.2796,171148.4169
MED24,0.888538257,0.403846017,0.623716545,390892.0098,542675.1589
RHOBTB2,0.841905691,0.227389847,0.456114278,78399.88059,41448.18835
SEC62,1.325117462,0.048313005,0.202083536,541653.3255,199656.5109
RPS20,1.098295689,0.511908123,0.709667993,6176396.758,4625462.713
CSDE1,1.271562213,0.095309608,0.286984794,2775276.461,1178106.808
UBE3C,0.93181442,0.617341881,0.783275189,288507.2747,102728.381
REV3L,1.546890441,0.002979955,0.055593645,63871.68483,45048.50911
TENM1,0.948537201,0.708720801,0.841960753,3106.543731,14545.64838
PAX7,1.1434822,0.345318702,0.570450641,10704.2558,45507.20311
MASP2,1.083263134,0.574947491,0.75426782,7151.441522,11978.39673
FAM76A,1.475053205,0.007534149,0.082960848,87013.07487,28137.82431
TRAF3IP3,0.717388417,0.020825375,0.133771498,26763.69161,35849.31725
POMT2,0.865650629,0.311246549,0.539836375,61277.78199,21778.29177
MLXIPL,1.359798148,0.032540057,0.16760833,27280.12827,78889.21038
BAZ1B,0.8515345,0.25698683,0.485045089,494639.9676,175253.5314
RANBP9,0.945821208,0.694753799,0.833718352,513875.3608,230061.6803
ETV7,0.644819131,0.002426129,0.051007777,66081.27468,87721.62598
EEF1AKNMT,0.825639592,0.181843462,0.403063001,343063.1318,129201.6789
DYRK4,0.945596612,0.693378008,0.832606788,58745.66373,34035.18005
ZNF207,0.975867905,0.864276966,0.931548167,222598.0576,75778.48633
UQCRC1,0.753405293,0.049692142,0.204607733,1044166.587,513837.6716
CD9,0.863359827,0.300923257,0.530455125,2830696.128,1581365.794
NCAPD2,0.859640598,0.284922848,0.515219366,360941.1632,309976.9923
IFFO1,1.301266729,0.065274042,0.236735425,46151.45445,30185.99078
GIPR,0.890614314,0.414120427,0.63247917,15755.91216,19231.52054
PHF7,0.920371757,0.556988296,0.741552441,36960.17335,19730.9008
SEMA3G,1.061357545,0.675379694,0.821973737,176495.517,311004.2803
NISCH,1.072406052,0.621448491,0.785074318,245494.05,98363.59056
STAB1,1.577577908,0.001568821,0.042526208,132983.7709,143914.786
FUZ,0.5732664,0.000152029,0.018196781,154772.9446,90146.77559
SLC6A13,0.953956487,0.738710861,0.859304945,486.959366,1260.86848
IDS,1.321111793,0.054137554,0.213669241,295838.6138,133191.8378
PRSS3,1.018692424,0.896281468,0.947757709,6449.282263,22320.81963
ZNF200,0.885412754,0.389781381,0.611873866,39513.83783,12332.48376
CD4,0.844537735,0.238416799,0.467361874,332039.7452,252001.3036
LRRC23,0.555679917,7.43774464424608e-05,0.014457374,85485.64274,59120.37106
BTK,0.841435587,0.232950274,0.461715702,47849.49285,40085.73326
HFE,1.432106917,0.012733068,0.106281126,75859.98478,42278.01307
SCMH1,1.23554818,0.140919111,0.351756121,253150.5849,122088.0369
FYN,1.284996034,0.08233727,0.269530261,111009.0671,95047.29607
HIVEP2,1.542555233,0.002858023,0.05464708,96462.83321,55167.21463
FMO1,1.174097383,0.260655195,0.489295132,55650.43477,85623.96528
ELOA,1.112301463,0.453042097,0.664466874,263595.9881,76851.09331
LYPLA2,0.733423098,0.030913369,0.162933307,703814.2859,344984.4035
CLCN6,0.965878141,0.806430338,0.899362778,59270.20057,26956.62404
MRC2,1.032136041,0.823964137,0.908592762,531368.0695,705217.3841
NME1-NME2,0.888370783,0.406842502,0.626113482,19766.37266,40199.67423
SLC6A7,0.773328239,0.07134292,0.249123211,915.8057995,1859.660401
TSPAN9,0.86130388,0.292317802,0.521829579,374571.394,163417.1396
BTBD7,1.324085355,0.048832696,0.203354619,92074.87524,36719.41869
APBA3,0.729173322,0.02772855,0.154546078,56003.33371,27262.06018
MKS1,0.931931162,0.618327271,0.78342303,111778.983,53257.51443
ABHD5,1.34500066,0.039694891,0.185278584,171203.9445,88652.93884
ANOS1,1.114278362,0.444104035,0.656008515,95367.41167,93424.01349
AKAP8L,0.600359312,0.000497287,0.029503933,216495.8126,98276.44745
MBTD1,1.037864299,0.793189202,0.891068283,113972.6638,83537.61331
UTP18,0.842823233,0.229278413,0.458066693,397932.6434,357743.5209
RNF216,1.349941923,0.035061986,0.1737149,187334.8909,55032.49674
TTC19,1.508027562,0.004387871,0.065514288,231612.5397,97406.50832
PTBP1,0.671416523,0.005762946,0.072848061,927042.8187,231545.1349
DPF1,0.963133714,0.792087858,0.890758154,3906.26363,4576.431149
LARS2,0.7347172,0.033023745,0.168876502,115891.5181,37949.58416
PIK3C2A,1.392186843,0.021498271,0.135219875,195720.0546,100042.3543
PLAUR,0.7608956,0.056172303,0.218349508,196683.0723,169511.1123
WIZ,0.619750203,0.000920332,0.035659931,209193.8599,88920.47592
RABGAP1,1.769180086,0.000106058,0.015663881,207801.1156,64464.09531
DCN,1.25011084,0.117478958,0.319797566,1417756.671,1556471.194
QPCTL,0.896116849,0.439407675,0.652900613,143395.7363,92970.00732
PPP5C,0.812317668,0.14788734,0.360917359,189013.4149,61961.11958
CEP68,1.234873648,0.147193805,0.359989058,107368.3486,50808.50948
MAP4K3,1.523048548,0.003711673,0.060786745,172547.3604,68070.71809
ZBTB32,0.643213851,0.002312752,0.049934178,7290.60673,13666.92405
TYROBP,0.729552151,0.028402245,0.156568508,1207727.501,1117487.104
TMEM159,1.165728583,0.285209031,0.515219366,455717.6727,228193.3805
GABRA3,1.116671948,0.434933253,0.649001061,5868.944948,21808.2251
BRCA1,1.089485144,0.544133366,0.732710747,53638.80334,38257.59054
ERCC1,0.723278244,0.023654003,0.142548971,243101.3823,109549.8791
CD22,0.623091261,0.001071745,0.037230805,39797.51469,78087.33236
SEMA3B,0.73589454,0.03492373,0.173554269,148142.756,233468.8041
MBTPS2,1.28161544,0.080309787,0.265844748,90608.87131,43318.72167
PRICKLE3,0.980235905,0.888304469,0.944008978,73591.61563,30275.98742
LTF,0.980858664,0.891917577,0.946039097,5373107.652,14550404.34
EXTL3,1.144110256,0.341881278,0.567947494,79190.488,38537.13472
ELOVL5,1.005306021,0.97013587,0.985295517,2292896.705,2063073.779
ALOX5,1.006776045,0.962161612,0.982079023,145969.8015,112127.3725
CALCOCO1,1.356367093,0.033308309,0.169390832,214163.1911,103170.0475
UBR7,0.754731986,0.049288815,0.204445249,400218.0688,156264.7664
MAP4K5,1.323147885,0.051081264,0.207430771,167278.0649,65947.24792
EHD3,1.136988275,0.366100668,0.590399513,96019.88548,54083.7126
PSMC4,0.743609087,0.041478756,0.189435847,908190.008,531655.1997
MAN2B2,0.797068084,0.11394893,0.31471981,222820.1016,92722.24199
CLDN11,1.032198268,0.823664252,0.908510688,45490.67559,61662.90848
MVP,0.630297173,0.001606571,0.04303674,687638.7402,363943.6313
PGM3,1.074378296,0.612708428,0.780180344,162335.6592,84132.61913
RWDD2A,1.469550331,0.006892892,0.07966045,59426.82933,29404.58112
CLK1,1.097492441,0.512055228,0.709667993,355088.9546,179477.3138
POLR3B,0.977364771,0.871298949,0.935273953,75779.03749,28632.43375
ANGEL1,1.072411531,0.621340549,0.785074318,105891.4686,39357.85077
RNF14,1.349193873,0.034632729,0.17291547,334460.5529,119436.1538
DNASE1L1,0.995811173,0.976377071,0.98848751,115599.3374,48268.74534
DDX11,0.691514037,0.010366206,0.095818335,64170.73334,43867.5786
HEBP1,0.783301814,0.088181285,0.277754966,625216.7736,1033830.983
GPRC5A,0.851799649,0.259776827,0.488023787,907468.4113,948721.4555
MAMLD1,1.062159904,0.672482857,0.819922773,29866.55282,39213.36324
CD6,0.518871611,8.60586997689595e-06,0.007721242,40891.98191,52131.32877
TACC3,0.770685552,0.06820181,0.243083326,163677.8112,129792.4013
UFL1,1.046472954,0.747872729,0.863930571,266031.9923,113887.8315
POLA2,0.721391659,0.023573998,0.142279609,101631.6435,50506.66396
ZC3H3,0.810436071,0.14241107,0.353876141,224354.8677,119967.2874
CAPN1,0.724704949,0.025602017,0.148929008,676795.7542,319309.4308
ACP3,1.025336451,0.860093543,0.929917289,12874.00917,17573.02964
MDH1,1.508666706,0.004140507,0.063890265,631021.2366,289049.2135
SLC30A9,1.239179344,0.130021554,0.337955399,273415.7792,95417.37651
MTMR11,0.939693657,0.660156095,0.811204212,91876.67783,68524.67896
COX15,0.97004366,0.829490206,0.912190221,259021.5018,75917.11849
CCDC88C,0.618499971,0.001121139,0.038178733,126081.8769,75436.74801
YAF2,1.200460754,0.196778097,0.419835066,33241.48626,14556.73789
ZMYND11,1.291679009,0.077017646,0.259649252,596878.8405,196971.3117
WAS,0.685518497,0.008747774,0.088427868,109362.9394,102616.2075
DPEP1,0.70794756,0.017905918,0.124619828,12920.91409,19316.04421
BID,0.867345313,0.316945588,0.545118344,137411.9513,70163.55273
MATR3,1.072290784,0.622448798,0.785632023,14786.74216,26582.34022
NPC1L1,1.492198445,0.005419263,0.07139216,8362.202172,20039.84485
XYLT2,0.798960537,0.12096713,0.325188266,200991.4944,130917.9076
RGPD5,0.795040583,0.105045367,0.302499629,26.10590203,40.98747375
STMN4,0.994142577,0.966858014,0.983891804,2497.402758,17709.96004
NUDCD3,1.080277564,0.585081158,0.76167465,278678.681,83518.72096
ISL1,0.966356238,0.808716726,0.900192523,1623.648343,8686.830901
IL20RA,1.033684227,0.814836083,0.904135238,110816.4543,119331.9595
CLCA4,0.925952667,0.586748444,0.762709887,5093.562953,15345.02559
GLT8D1,0.921763549,0.565175538,0.747119419,345644.366,95395.6276
ATP2C1,0.946258799,0.696295748,0.834791761,397810.2812,152048.1957
IGF1,1.257507772,0.110646822,0.310062456,11793.78963,19174.66439
RALBP1,0.94221871,0.673531796,0.82055083,449811.1305,178332.7115
RUFY3,1.556256609,0.002409189,0.05079375,96939.76152,49126.2972
CNTN1,1.344493065,0.03823287,0.182222476,48002.82826,71961.66478
SLC11A1,0.805427184,0.133953519,0.342722559,19731.43895,18859.83296
WWTR1,1.062068551,0.671882811,0.819781116,241823.4205,169012.1651
AGPS,1.232902772,0.139784978,0.351018375,160943.3694,106796.2696
CXorf56,1.822149631,3.69456047888955e-05,0.012774609,246405.629,73834.32351
ATP1A2,1.026516508,0.853825832,0.926707391,52694.13114,370191.489
TTC27,0.985136252,0.915652525,0.957553925,188633.0416,61393.71733
PHLDB1,1.100991537,0.49686713,0.697916425,90052.5294,63518.17597
MARCO,1.186690334,0.227602216,0.456114278,87151.85922,260083.5456
CYP24A1,0.739906138,0.033766429,0.170510593,22782.90607,182716.4828
PRDM11,1.049138635,0.735956869,0.857871236,18882.7912,10614.28761
SYT13,0.730134281,0.027813639,0.154806206,271627.395,689008.632
SNAI2,1.052492775,0.717513836,0.847072731,249059.4757,270200.8599
CD74,0.610268818,0.000582023,0.029683426,14109594.18,11691665.87
HGF,1.304159517,0.064456607,0.235734844,18623.66512,22888.34395
NCDN,0.656444832,0.003549655,0.060137939,246815.3712,162193.0184
ADGRA2,1.12763176,0.397612624,0.618464911,136249.461,106773.2937
ZFP64,0.954862012,0.74453166,0.862613836,79293.9483,29281.38919
MNAT1,0.876067837,0.353385142,0.577931951,115134.5467,49838.91705
SAMD4A,1.184594571,0.236471469,0.465111493,36849.55362,36397.92512
RUNX3,0.960359906,0.775214403,0.879422999,104473.4105,131298.824
MRE11,1.688207723,0.000436176,0.028047502,97251.72896,41928.27268
PLEKHB1,1.05631541,0.698113861,0.836007772,140501.742,214523.0872
SERPINB1,0.830433956,0.189953235,0.411826728,520108.4747,210996.2285
CYP3A43,0.927247135,0.59255294,0.766394553,803.8326202,4996.997762
SLC7A9,0.97046305,0.832171121,0.914223617,4128.55648,4388.351822
SPAST,0.981284256,0.893964885,0.946980729,133667.0841,53715.23659
NRXN3,1.16715744,0.278354359,0.509042606,7302.909429,14414.47487
AQR,1.054912869,0.705401587,0.840488842,123005.1146,47213.73377
CPS1,1.259179806,0.107902894,0.305918875,13766.41161,33846.08739
C8B,1.105557291,0.477589988,0.684373041,2633.592507,37272.77469
FHL1,1.257086933,0.111073441,0.310527269,571317.5354,3624414.804
RTF2,0.787608386,0.094868793,0.286442519,622509.4861,271871.5449
NLRP2,0.742047018,0.035772995,0.175585671,117005.4854,195776.6004
RNF10,0.797363375,0.111940392,0.311449343,734282.6411,192502.3814
ZNF839,0.893526776,0.426295528,0.642099955,39741.20162,17883.19037
ZDHHC6,0.854617889,0.267902867,0.498698208,263087.695,77935.4531
GRAMD1B,1.054282658,0.708821508,0.841960753,11094.30594,65848.25137
RNH1,0.87528941,0.352082012,0.576893391,448408.8791,207868.0947
NDUFS1,1.571911691,0.001710981,0.044161766,199482.2787,91514.65192
RB1CC1,1.452094703,0.01027745,0.095666901,284109.9872,157745.0695
ERP44,1.201043274,0.200122945,0.42399593,347494.6897,123979.2167
ALAS1,1.006985388,0.960765619,0.981551219,446800.7463,157962.0637
BIRC3,0.828128126,0.183034182,0.404367732,116470.1179,147542.5488
AKAP11,1.514051444,0.004383593,0.065514288,165890.9228,88441.36405
GLRX2,0.880927197,0.373647795,0.597016679,169324.8099,95261.04138
SNAPC1,1.192940163,0.215500501,0.442456786,69873.4003,26806.6192
DERA,1.119707657,0.426219525,0.642099955,219507.7561,112483.4652
STRAP,1.163598183,0.283981962,0.514701028,1468983.186,767823.1247
ABCC2,1.771557607,9.53607802035384e-05,0.015663881,10809.4966,61431.3248
DEF6,0.506247241,5.35055934130447e-06,0.005915906,205754.4133,136741.0427
PLEKHO1,0.801290948,0.118497375,0.321191652,172187.2814,139118.1321
GCLM,1.411302339,0.017046171,0.121935598,129749.0366,70731.17223
UBR2,1.180599618,0.246300328,0.473977184,200001.6348,97581.37136
EHD2,1.146295132,0.336944434,0.563781489,732005.1959,754825.8416
DEPDC1,0.869255274,0.324652288,0.552439274,51736.84229,60464.52775
CCDC28A,1.255146017,0.109367913,0.308193169,337842.8373,146165.395
